Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    1000	3	    0.300666	0.307783	0.0750858	0.00119835
2	    1000	5.54	0.343087	0.663342	0.0862968	0.00239479
4	    1000	9.31	0.40003	    1.20615	    0.113826	0.00422851
8	    1000	12.56	0.440053	2.1311	    0.146462	0.00696977
16	    1000	16.72	0.474385	3.57383	    0.192146	0.0115953
32	    1000	17.03	0.508408	4.35579	    0.219854	0.02035
64	    1000	17.07	0.486534	5.05625 	0.231815	0.0379747
128	    1000	18.08	0.446446	6.70768	    0.237569	0.0590612
256	    1000	18.77	0.422122	7.76347	    0.233225	0.0933127
512 	1000	18.98	0.397693	8.82885	    0.2358	    0.149663
1024	1000	18.27	0.372434	8.95614	    0.225095	0.249786
2048	1000	20.19	0.33206	    10.8919	    0.210658	0.429318
4096	1000	20.97	0.259151	12.131	    0.159235	0.747399
8192	1000	20.04	0.258067	12.0548	    0.161414	1.40395
16384	1000	21.75	0.272832	13.0598	    0.174082	2.27789
